Timestamp,V_True_RMS
2025-10-16T16:14:10.326963,126.8435
2025-10-16T16:14:10.343629,126.8314
2025-10-16T16:14:10.360296,126.8274
2025-10-16T16:14:10.376963,126.8381
2025-10-16T16:14:10.393629,126.8435
2025-10-16T16:14:10.410296,126.8376
2025-10-16T16:14:10.426963,126.8226
2025-10-16T16:14:10.443629,126.8464
2025-10-16T16:14:10.460296,126.8404
2025-10-16T16:14:10.476963,126.8633
2025-10-16T16:14:10.493629,126.8487
2025-10-16T16:14:10.510296,126.8413
2025-10-16T16:14:10.526963,126.8394
2025-10-16T16:14:10.543629,126.8319
2025-10-16T16:14:10.560296,126.8177
2025-10-16T16:14:10.576963,126.8279
2025-10-16T16:14:10.593629,126.8530
2025-10-16T16:14:10.610296,126.8369
2025-10-16T16:14:10.626963,126.8574
2025-10-16T16:14:10.643629,126.8414
2025-10-16T16:14:10.660296,126.8182
2025-10-16T16:14:10.676963,126.8642
2025-10-16T16:14:10.693629,126.8357
2025-10-16T16:14:10.710296,126.8605
2025-10-16T16:14:10.726963,126.8277
2025-10-16T16:14:10.743629,126.8484
2025-10-16T16:14:10.760296,126.8625
2025-10-16T16:14:10.776963,126.8447
2025-10-16T16:14:10.793629,126.8445
2025-10-16T16:14:10.810296,147.9816
2025-10-16T16:14:10.826963,149.8253
2025-10-16T16:14:10.843629,149.8364
2025-10-16T16:14:10.860296,149.8489
2025-10-16T16:14:10.876963,149.8450
2025-10-16T16:14:10.893629,149.8469
2025-10-16T16:14:10.910296,149.8421
2025-10-16T16:14:10.926963,149.8274
2025-10-16T16:14:10.943629,149.8392
2025-10-16T16:14:10.960296,149.8398
2025-10-16T16:14:10.976963,149.8601
2025-10-16T16:14:10.993629,149.8493
2025-10-16T16:14:11.010296,149.8273
2025-10-16T16:14:11.026963,149.8447
2025-10-16T16:14:11.043629,149.8696
2025-10-16T16:14:11.060296,149.8247
2025-10-16T16:14:11.076963,149.8644
2025-10-16T16:14:11.093629,149.8281
2025-10-16T16:14:11.110296,149.8442
2025-10-16T16:14:11.126963,149.8461
2025-10-16T16:14:11.143629,149.8407
2025-10-16T16:14:11.160296,149.8555
2025-10-16T16:14:11.176963,149.8655
2025-10-16T16:14:11.193629,149.8335
2025-10-16T16:14:11.210296,149.8590
2025-10-16T16:14:11.226963,149.8644
2025-10-16T16:14:11.243629,149.8384
2025-10-16T16:14:11.260296,149.8467
2025-10-16T16:14:11.276963,149.8756
2025-10-16T16:14:11.293629,149.8619
2025-10-16T16:14:11.310296,149.8507
2025-10-16T16:14:11.326963,149.8711
2025-10-16T16:14:11.343629,149.8654
2025-10-16T16:14:11.360296,149.8704
2025-10-16T16:14:11.376963,149.8702
2025-10-16T16:14:11.393629,149.8491
2025-10-16T16:14:11.410296,149.8579
2025-10-16T16:14:11.426963,149.8592
2025-10-16T16:14:11.443629,149.8612
2025-10-16T16:14:11.460296,149.8305
2025-10-16T16:14:11.476963,149.8493
2025-10-16T16:14:11.493629,149.8887
2025-10-16T16:14:11.510296,149.8351
2025-10-16T16:14:11.526963,149.8386
2025-10-16T16:14:11.543629,149.8739
2025-10-16T16:14:11.560296,149.8299
2025-10-16T16:14:11.576963,149.8670
2025-10-16T16:14:11.593629,149.8433
2025-10-16T16:14:11.610296,149.8679
2025-10-16T16:14:11.626963,149.8636
2025-10-16T16:14:11.643629,149.8623
2025-10-16T16:14:11.660296,149.8393
2025-10-16T16:14:11.676963,149.8823
2025-10-16T16:14:11.693629,149.8426
2025-10-16T16:14:11.710296,149.8613
2025-10-16T16:14:11.726963,149.8651
2025-10-16T16:14:11.743629,149.8410
2025-10-16T16:14:11.760296,149.8433
2025-10-16T16:14:11.776963,149.8465
2025-10-16T16:14:11.793629,149.8618
2025-10-16T16:14:11.810296,129.0778
2025-10-16T16:14:11.826963,126.8726
2025-10-16T16:14:11.843629,126.8798
2025-10-16T16:14:11.860296,126.8695
2025-10-16T16:14:11.876963,126.8762
2025-10-16T16:14:11.893629,126.8479
2025-10-16T16:14:11.910296,126.8708
2025-10-16T16:14:11.926963,126.8595
2025-10-16T16:14:11.943629,126.8279
2025-10-16T16:14:11.960296,126.8537
2025-10-16T16:14:11.976963,126.8741
2025-10-16T16:14:11.993629,126.8641
2025-10-16T16:14:12.010296,126.8765
2025-10-16T16:14:12.026963,126.8606
2025-10-16T16:14:12.043629,126.8592
2025-10-16T16:14:12.060296,126.8471
2025-10-16T16:14:12.076963,126.8498
2025-10-16T16:14:12.093629,126.8519
2025-10-16T16:14:12.110296,126.8331
2025-10-16T16:14:12.126963,126.8877
2025-10-16T16:14:12.143629,126.8824
2025-10-16T16:14:12.160296,126.8771
2025-10-16T16:14:12.176963,126.8689
2025-10-16T16:14:12.193629,126.8476
2025-10-16T16:14:12.210296,126.8714
2025-10-16T16:14:12.226963,126.8740
2025-10-16T16:14:12.243629,126.8608
2025-10-16T16:14:12.260296,126.8387
2025-10-16T16:14:12.276963,126.8866
2025-10-16T16:14:12.293629,126.8469
