Timestamp,V_True_RMS
2025-10-16T16:51:27.201646,126.9319
2025-10-16T16:51:27.218312,126.9614
2025-10-16T16:51:27.234979,126.9618
2025-10-16T16:51:27.251646,126.9527
2025-10-16T16:51:27.268312,126.9646
2025-10-16T16:51:27.284979,126.9588
2025-10-16T16:51:27.301646,126.9531
2025-10-16T16:51:27.318312,126.9350
2025-10-16T16:51:27.334979,126.9661
2025-10-16T16:51:27.351646,126.9194
2025-10-16T16:51:27.368312,126.9486
2025-10-16T16:51:27.384979,126.9289
2025-10-16T16:51:27.401646,126.9524
2025-10-16T16:51:27.418312,126.9433
2025-10-16T16:51:27.434979,126.9752
2025-10-16T16:51:27.451646,126.9795
2025-10-16T16:51:27.468312,126.9714
2025-10-16T16:51:27.484979,126.9646
2025-10-16T16:51:27.501646,126.9656
2025-10-16T16:51:27.518312,126.9432
2025-10-16T16:51:27.534979,126.9441
2025-10-16T16:51:27.551646,126.9632
2025-10-16T16:51:27.568312,126.9452
2025-10-16T16:51:27.584979,126.9399
2025-10-16T16:51:27.601646,126.9650
2025-10-16T16:51:27.618312,126.9784
2025-10-16T16:51:27.634979,126.9692
2025-10-16T16:51:27.651646,126.9709
2025-10-16T16:51:27.668312,119.4117
2025-10-16T16:51:27.684979,109.9366
2025-10-16T16:51:27.701646,109.9615
2025-10-16T16:51:27.718312,109.9227
2025-10-16T16:51:27.734979,109.9393
2025-10-16T16:51:27.751646,109.9589
2025-10-16T16:51:27.768312,109.9431
2025-10-16T16:51:27.784979,109.9445
2025-10-16T16:51:27.801646,109.9335
2025-10-16T16:51:27.818312,109.9316
2025-10-16T16:51:27.834979,109.9419
2025-10-16T16:51:27.851646,109.9533
2025-10-16T16:51:27.868312,109.9442
2025-10-16T16:51:27.884979,109.9181
2025-10-16T16:51:27.901646,109.9601
2025-10-16T16:51:27.918312,109.9402
2025-10-16T16:51:27.934979,109.9615
2025-10-16T16:51:27.951646,109.9524
2025-10-16T16:51:27.968312,109.9586
2025-10-16T16:51:27.984979,109.9790
2025-10-16T16:51:28.001646,109.9462
2025-10-16T16:51:28.018312,109.9429
2025-10-16T16:51:28.034979,109.9484
2025-10-16T16:51:28.051646,109.9746
2025-10-16T16:51:28.068312,109.9195
2025-10-16T16:51:28.084979,109.9289
2025-10-16T16:51:28.101646,109.9208
2025-10-16T16:51:28.118312,109.9768
2025-10-16T16:51:28.134979,109.9429
2025-10-16T16:51:28.151646,109.9096
2025-10-16T16:51:28.168312,109.9515
2025-10-16T16:51:28.184979,109.9381
2025-10-16T16:51:28.201646,109.9513
2025-10-16T16:51:28.218312,109.9382
2025-10-16T16:51:28.234979,109.9713
2025-10-16T16:51:28.251646,109.9594
2025-10-16T16:51:28.268312,109.9270
2025-10-16T16:51:28.284979,109.9561
2025-10-16T16:51:28.301646,109.9594
2025-10-16T16:51:28.318312,109.9501
2025-10-16T16:51:28.334979,109.9223
2025-10-16T16:51:28.351646,109.9250
2025-10-16T16:51:28.368312,109.9242
2025-10-16T16:51:28.384979,109.9252
2025-10-16T16:51:28.401646,109.9558
2025-10-16T16:51:28.418312,109.9319
2025-10-16T16:51:28.434979,109.9473
2025-10-16T16:51:28.451646,109.9513
2025-10-16T16:51:28.468312,109.9084
2025-10-16T16:51:28.484979,109.9184
2025-10-16T16:51:28.501646,109.9214
2025-10-16T16:51:28.518312,109.9711
2025-10-16T16:51:28.534979,109.9396
2025-10-16T16:51:28.551646,109.9371
2025-10-16T16:51:28.568312,109.9703
2025-10-16T16:51:28.584979,109.9281
2025-10-16T16:51:28.601646,109.9425
2025-10-16T16:51:28.618312,109.9408
2025-10-16T16:51:28.634979,109.9459
2025-10-16T16:51:28.651646,109.9576
2025-10-16T16:51:28.668312,109.9439
2025-10-16T16:51:28.684979,109.9379
2025-10-16T16:51:28.701646,109.9196
2025-10-16T16:51:28.718312,109.9379
2025-10-16T16:51:28.734979,109.9516
2025-10-16T16:51:28.751646,109.9372
2025-10-16T16:51:28.768312,109.9460
2025-10-16T16:51:28.784979,109.9249
2025-10-16T16:51:28.801646,109.9286
2025-10-16T16:51:28.818312,109.9511
2025-10-16T16:51:28.834979,109.9222
2025-10-16T16:51:28.851646,109.9269
2025-10-16T16:51:28.868312,109.9195
2025-10-16T16:51:28.884979,109.9634
2025-10-16T16:51:28.901646,109.9241
2025-10-16T16:51:28.918312,109.9497
2025-10-16T16:51:28.934979,109.9328
2025-10-16T16:51:28.951646,109.9384
2025-10-16T16:51:28.968312,109.9280
2025-10-16T16:51:28.984979,109.9515
2025-10-16T16:51:29.001646,109.9433
2025-10-16T16:51:29.018312,109.9065
2025-10-16T16:51:29.034979,109.9227
2025-10-16T16:51:29.051646,109.9244
2025-10-16T16:51:29.068312,109.9647
2025-10-16T16:51:29.084979,109.9307
2025-10-16T16:51:29.101646,109.9646
2025-10-16T16:51:29.118312,109.9292
2025-10-16T16:51:29.134979,109.9451
2025-10-16T16:51:29.151646,109.9447
2025-10-16T16:51:29.168312,109.9270
2025-10-16T16:51:29.184979,109.9290
2025-10-16T16:51:29.201646,109.9601
2025-10-16T16:51:29.218312,109.9407
2025-10-16T16:51:29.234979,109.9041
