Intervalo_N,Timestamp_Fim,Duracao_Min,Tensao_RMS_Total_V,Faixa_Tensao,DTT_%,DTTp_%,DTTi_%,DTT3_%,DIT2_%,DIT3_%,DIT4_%,DIT5_%,DIT6_%,DIT7_%,DIT8_%,DIT9_%,DIT10_%,DIT11_%,DIT12_%,DIT13_%,DIT14_%,DIT15_%,DIT16_%,DIT17_%,DIT18_%,DIT19_%,DIT20_%,DIT21_%,DIT22_%,DIT23_%,DIT24_%,DIT25_%,DIT26_%,DIT27_%,DIT28_%,DIT29_%,DIT30_%,DIT31_%,DIT32_%,DIT33_%,DIT34_%,DIT35_%,DIT36_%,DIT37_%,DIT38_%,DIT39_%,DIT40_%
1,2025-10-06 17:57:49,1,127.3925,Adequada,8.3629,2.2271,4.9741,6.3432,1.9989,4.9784,0.0036,3.9750,0.0046,2.9901,0.0050,0.0062,0.0058,0.0114,0.0053,0.0059,0.0063,3.9308,0.9819,0.0050,0.0041,0.0042,0.0043,0.0057,0.0039,0.0086,0.0045,0.0039,0.0038,0.0043,0.0043,0.0043,0.0039,0.0048,0.0051,0.0052,0.0053,0.0048,0.0054,0.0054,0.0040,0.0042,0.0038
2,2025-10-06 17:58:49,1,127.4282,Adequada,8.3619,2.2232,4.9733,6.3439,1.9960,4.9789,0.0042,3.9742,0.0046,2.9899,0.0050,0.0062,0.0062,0.0112,0.0057,0.0060,0.0053,3.9313,0.9790,0.0049,0.0044,0.0039,0.0041,0.0054,0.0038,0.0070,0.0050,0.0037,0.0037,0.0043,0.0042,0.0043,0.0041,0.0045,0.0050,0.0055,0.0051,0.0052,0.0065,0.0045,0.0041,0.0045,0.0039
3,2025-10-06 17:59:49,1,127.4350,Adequada,8.3632,2.2210,4.9742,6.3456,1.9939,4.9808,0.0053,3.9747,0.0057,2.9907,0.0049,0.0070,0.0056,0.0116,0.0051,0.0051,0.0048,3.9318,0.9783,0.0051,0.0043,0.0043,0.0042,0.0053,0.0038,0.0065,0.0047,0.0038,0.0039,0.0046,0.0048,0.0051,0.0049,0.0052,0.0051,0.0054,0.0046,0.0044,0.0054,0.0047,0.0036,0.0043,0.0036
